"Method","Metric","tie_affected"
"C-PCA","Centers-Euclidean",FALSE
"IMDS","Centers-Euclidean",TRUE
"Int-UMAP","Centers-Euclidean",FALSE
"MR-PCA","Centers-Euclidean",FALSE
"SPCA","Centers-Euclidean",FALSE
"V-PCA","Centers-Euclidean",FALSE
"C-PCA","Hausdorff",FALSE
"IMDS","Hausdorff",TRUE
"Int-UMAP","Hausdorff",TRUE
"MR-PCA","Hausdorff",FALSE
"SPCA","Hausdorff",FALSE
"V-PCA","Hausdorff",FALSE
"C-PCA","Ichino-Yaguchi",FALSE
"IMDS","Ichino-Yaguchi",TRUE
"Int-UMAP","Ichino-Yaguchi",FALSE
"MR-PCA","Ichino-Yaguchi",FALSE
"SPCA","Ichino-Yaguchi",FALSE
"V-PCA","Ichino-Yaguchi",FALSE
"C-PCA","Int-Euclidean",FALSE
"IMDS","Int-Euclidean",TRUE
"Int-UMAP","Int-Euclidean",FALSE
"MR-PCA","Int-Euclidean",FALSE
"SPCA","Int-Euclidean",FALSE
"V-PCA","Int-Euclidean",FALSE
"C-PCA","Wasserstein",FALSE
"IMDS","Wasserstein",TRUE
"Int-UMAP","Wasserstein",FALSE
"MR-PCA","Wasserstein",FALSE
"SPCA","Wasserstein",FALSE
"V-PCA","Wasserstein",FALSE
