"IDR","Metric","Q_TC","B_TC","Q_RE","B_RE","Q_LC","B_LC","rep","kind"
"C-PCA","Int-Euclidean",0.001,0.001,0.001,0.001,0.001,0.001,1,"raw"
"C-PCA","Hausdorff",0.001,0.001,0.001,0.001,0.001,0.001,1,"raw"
"C-PCA","Ichino-Yaguchi",0.001,0.001,0.001,0.001,0.001,0.001,1,"raw"
"C-PCA","Wasserstein",0.001,0.001,0.001,0.001,0.001,0.001,1,"raw"
"C-PCA","Centers-Euclidean",0.001,0.001,0.001,0.001,0.001,0.001,1,"raw"
"V-PCA","Int-Euclidean",0.001,0.001,0.001,0.001,0.001,0.001,1,"raw"
"V-PCA","Hausdorff",0.001,0.001,0.001,0.001,0.001,0.001,1,"raw"
"V-PCA","Ichino-Yaguchi",0.001,0.001,0.001,0.001,0.001,0.001,1,"raw"
"V-PCA","Wasserstein",0.001,0.001,0.001,0.001,0.001,0.001,1,"raw"
"V-PCA","Centers-Euclidean",0.001,0.001,0.001,0.001,0.001,0.001,1,"raw"
"MR-PCA","Int-Euclidean",0.001,0.001,0.001,0.001,0.001,0.001,1,"raw"
"MR-PCA","Hausdorff",0.001,0.001,0.001,0.001,0.001,0.001,1,"raw"
"MR-PCA","Ichino-Yaguchi",0.001,0.001,0.001,0.001,0.001,0.001,1,"raw"
"MR-PCA","Wasserstein",0.001,0.001,0.001,0.001,0.001,0.001,1,"raw"
"MR-PCA","Centers-Euclidean",0.001,0.001,0.001,0.001,0.001,0.001,1,"raw"
"SPCA","Int-Euclidean",0.001,0.001,0.001,0.001,0.001,0.001,1,"raw"
"SPCA","Hausdorff",0.001,0.001,0.001,0.001,0.001,0.001,1,"raw"
"SPCA","Ichino-Yaguchi",0.001,0.001,0.001,0.001,0.001,0.001,1,"raw"
"SPCA","Wasserstein",0.001,0.001,0.001,0.001,0.001,0.001,1,"raw"
"SPCA","Centers-Euclidean",0.001,0.001,0.001,0.001,0.001,0.001,1,"raw"
